feature,decile,mean_w
C,3,0.07295956462621689
C,4,0.07837534695863724
C,5,0.07704655081033707
C,6,0.062410831451416016
C,7,0.08707757294178009
C,8,0.07132242619991302
C,9,0.06249823793768883
CF,0,0.008348708041012287
CF,1,0.050967954099178314
CF,2,0.05761544778943062
CF,3,0.06442170590162277
CF,4,0.08249087631702423
CF,5,0.09111400693655014
CF,6,0.08471730351448059
CF,7,0.07893413305282593
CF,8,0.08241232484579086
CF,9,0.05837833881378174
CF2P,0,0.023164551705121994
CF2P,1,0.06068944185972214
CF2P,2,0.06349054723978043
CF2P,3,0.06627938151359558
CF2P,4,0.04993218183517456
CF2P,5,0.05546025559306145
CF2P,6,0.08265703916549683
CF2P,7,0.09340403974056244
CF2P,8,0.09315970540046692
CF2P,9,0.07117758691310883
D2P,0,0.11012206971645355
D2P,1,0.057622030377388
D2P,2,0.05600293353199959
D2P,3,0.06148981675505638
D2P,4,0.0762525200843811
D2P,5,0.08242610096931458
D2P,6,
D2P,7,0.06170310080051422
D2P,8,0.06536455452442169
D2P,9,0.04133521392941475
E2P,0,-0.04528385028243065
E2P,1,0.03942670300602913
E2P,2,0.06205480918288231
E2P,3,0.08931762725114822
E2P,4,0.08131074160337448
E2P,5,0.08496265113353729
E2P,6,0.07513931393623352
E2P,7,0.08925557881593704
E2P,8,0.0934155061841011
E2P,9,0.09062156081199646
Q,0,0.05274186655879021
Q,1,0.08718280494213104
Q,2,0.09320953488349915
Q,3,0.09235449880361557
Q,4,0.1237495169043541
Q,5,0.0661536306142807
Q,6,0.06919033080339432
Q,7,0.057246871292591095
Q,8,0.038620106875896454
Q,9,-0.02099037729203701
S2P,0,0.07886210829019547
S2P,1,0.09227533638477325
S2P,2,0.07264164835214615
S2P,3,0.06776008754968643
S2P,4,0.06753263622522354
S2P,5,0.07088308036327362
S2P,6,0.06726838648319244
S2P,7,0.04735223576426506
S2P,8,0.05765365809202194
S2P,9,0.0372246578335762
Lev,0,0.05291532352566719
Lev,1,0.08146415650844574
Lev,2,0.0885109007358551
Lev,3,0.10329785197973251
Lev,4,0.12470882385969162
Lev,5,0.07483197003602982
Lev,6,0.06455016881227493
Lev,7,0.04791928082704544
Lev,8,0.04105755686759949
Lev,9,-0.019783880561590195
AC,0,0.03544403985142708
AC,1,0.05785113200545311
AC,2,0.05417148396372795
AC,3,0.07390819489955902
AC,4,0.10082071274518967
AC,5,0.09338526427745819
AC,6,0.10613251477479935
AC,7,0.07493811100721359
AC,8,0.056035399436950684
AC,9,0.006747482344508171
OL,0,0.03952096775174141
OL,1,0.04393690079450607
OL,2,0.050896499305963516
OL,3,0.06350475549697876
OL,4,0.0836741030216217
OL,5,0.09979242086410522
OL,6,0.07747117429971695
OL,7,0.0824001356959343
OL,8,0.07649394124746323
OL,9,0.04175735265016556
PCM,0,-0.032334960997104645
PCM,1,0.015546255744993687
PCM,2,0.04040922224521637
PCM,3,0.09706709533929825
PCM,4,0.07690589129924774
PCM,5,0.08596237003803253
PCM,6,0.11760879307985306
PCM,7,0.12092842906713486
PCM,8,0.0948069840669632
PCM,9,0.042523887008428574
logAT,0,-0.0016569599974900484
logAT,1,0.03696903586387634
logAT,2,0.06745649874210358
logAT,3,0.0713285505771637
logAT,4,0.06648457050323486
logAT,5,0.058819450438022614
